Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
LMT,Lockheed Martin Corporation,593.74,USD,-2.454491686929083,880689,0.9107699085392338,137029701952.48022,USD,21.882255817553272,27.1334,USD,52.76697088614012,2.24255766576855,Electronic technology,Neutral
PLD,"Prologis, Inc.",140.62,USD,-0.29071828688931195,2249947,0.3888556865521203,135983070595.98528,USD,31.31151191271432,4.491,USD,22.353902738046575,2.94972700843792,Finance,Buy
COF,Capital One Financial Corporation,221.45,USD,-2.590833113398441,3847097,1.3287066587731438,135856207268.97685,USD,78.06331077270163,2.8368,USD,-76.17936014778739,1.3196093956189,Finance,Strong buy
UL,Unilever PLC,61.23,USD,-1.3850861652440112,3650552,1.1606295027403732,133774959912.79199,USD,20.45295119751478,2.9937,USD,9.259124087591234,3.69991947267821,Consumer non-durables,Buy
BMY,Bristol-Myers Squibb Company,64.63,USD,1.253329155569477,7289180,0.5529109389730424,132020648359.56117,USD,14.237564435828524,4.5394,USD,83.16587983698503,3.93232022559925,Health technology,Buy
MFG,"Mizuho Financial Group, Inc. Sponosred",10.83,USD,-0.3679852805887686,3454774,1.2206949561824878,131899261667.96877,USD,14.888644487214737,0.7274,USD,53.97967823878071,1.28248390064397,Finance,Buy
CB,Chubb Limited,340.86,USD,-0.8089861482947192,1382749,0.8879479797924663,131503737433.41307,USD,12.062808993138008,28.2571,USD,24.675593990602046,1.14363869165406,Finance,Buy
VRTX,Vertex Pharmaceuticals Incorporated,515.55,USD,1.9377162629757698,1111401,0.810275190028827,130671778460.95432,USD,29.993891264508243,17.1885,USD,22.86012451484244,0,Health technology,Buy
SYK,Stryker Corporation,331.68,USD,-2.2198638011850984,2286632,1.0545609352762944,127223498909.66235,USD,34.36635479158248,9.6513,USD,27.708308522885172,1.02591315114531,Health technology,Buy
NEM,Newmont Corporation,120.33,USD,2.182404891304342,7193260,0.9634936052081049,126790792035.23334,USD,15.194524768603285,7.9193,USD,42.18029048995494,0.86616847826087,Non-energy minerals,Buy
SBUX,Starbucks Corporation,107.92,USD,0.21357600520011513,5935310,0.9698074433923468,123028802788.94383,USD,62.22683503430779,1.7343,USD,-24.99351267191419,2.29362057758381,Consumer services,Buy
BTI,"British American Tobacco Industries, p.l.c.",55.73,USD,-2.3308797756747377,4295322,1.102138825519588,122901677552.11499,USD,14.279125778267442,3.9029,USD,117.61360468357958,5.60188398177357,Consumer non-durables,Strong buy
NOW,"ServiceNow, Inc.",117.7,USD,-5.08064516129032,20204055,1.0981436889168068,121701800000,USD,73.53951890034364,1.6005,USD,0.7237256135934592,0,Technology services,Strong buy
